Year,Percent
Jimmy Carter 1980,56
Walter Mondale 1984,61
Michael Dukakis 1988,69
Bill Clinton 1992,61
Bill Clinton 1996,72
Al Gore 2000,62
John Kerry 2004,58
Barack Obama 2008,67
Barack Obama 2012,71
